"","mutLoad_silent","mutLoad_nonsilent","mutSig2","mutSig3","mutSig7"
"TCGA_29_1696_01","0.42159","1.4455","0.13091","0.040986","0"
"TCGA_29_1697_01","0.30665","0.85863","0","0.0086925","0.007774"
"TCGA_29_1701_01","0.49569","2.1377","0","0.0923","0.022105"
"TCGA_29_1703_01","0.61862","1.8559","0","0.037071","0"
"TCGA_29_1710_01","0.44284","1.1219","0","0","0"
"TCGA_29_1711_01","0.43385","1.5619","0.031462","0.055003","0.079404"
"TCGA_29_1761_01","1.657","5.2078","0.045383","0","0.029232"
"TCGA_29_1762_01","0.50641","1.8171","0.12226","0.018226","0.04695"
"TCGA_29_1763_01","1.6132","4.0331","0","0.0056563","0.051679"
"TCGA_29_1776_01","0.20698","1.4784","0.017083","0","0"
"TCGA_29_1778_01","0.55241","1.1339","0","0","0"
"TCGA_29_1781_01","0.66554","2.9949","0.067385","0.12848","0"
"TCGA_29_1783_01","0.55111","2.2369","0","0.086901","0"
"TCGA_29_1784_01","0.76464","3.7276","0.10341","0.1249","0.044675"
"TCGA_29_1785_01","0.60405","1.8122","0.014077","0.0079659","0"
"TCGA_29_2427_01","0.61288","1.9677","0","0.069841","0.023497"
"TCGA_29_A5NZ_01","0.40492","1.0573","NaN","NaN","NaN"
"TCGA_30_1718_01","1.2601","3.6924","0","0.092032","0.015153"
"TCGA_30_1862_01","0.21986","1.2878","0","0","0.022065"
"TCGA_30_1891_01","0.60197","2.1544","0.060018","0.0037266","0.074041"
"TCGA_31_1953_01","0.35541","1.5697","0","0.19518","0"
"TCGA_57_1993_01","0.69837","2.4898","0","0","0"
"TCGA_57_1994_01","0.43577","1.9777","NaN","NaN","NaN"
"TCGA_59_2348_01","1.0426","2.7803","0.026578","0.062416","0"
"TCGA_59_2350_01","0.43601","0.99659","0.021388","0.055322","0.023371"
"TCGA_59_2351_01","0.84013","3.1427","0.1239","0.097927","0.030268"
"TCGA_59_2352_01","0.79684","2.3599","0.084733","0.023672","0.026625"
"TCGA_59_2355_01","0.18909","0.78788","NaN","NaN","NaN"
"TCGA_59_2363_01","0.82287","2.2787","0.067244","0","0.043347"
"TCGA_59_A5PD_01","1.0071","2.671","NaN","NaN","NaN"
"TCGA_5X_AA5U_01","NaN","NaN","NaN","NaN","NaN"
"TCGA_61_1725_01","0.48607","2.0739","0.12067","0.096528","0.10395"
"TCGA_61_1728_01","0.62974","1.6193","0","0.077604","0.1194"
"TCGA_61_1733_01","0.51474","1.3323","0","0","0"
"TCGA_61_1736_01","0.38955","1.4283","0.055728","0","0"
"TCGA_61_1738_01","0.45669","1.4557","0","0","0"
"TCGA_61_1741_01","0.26188","0.93112","0.090612","0","0"
"TCGA_61_1900_01","0.62548","2.1743","0.17408","0.055716","0.0097694"
"TCGA_61_1907_01","0.87653","2.8049","0.068042","0.12158","0.057667"
"TCGA_61_1910_01","1.2478","2.5891","0.11875","0","0.036285"
"TCGA_61_1914_01","0.75269","3.0107","0.094551","0.033381","0.028371"
"TCGA_61_1919_01","0.42382","1.8583","0","0.013677","0"
"TCGA_61_1995_01","0.20966","1.3279","0","0.24905","0.029631"
"TCGA_61_1998_01","2.5975","6.8228","0.037524","0.069769","0.045214"
"TCGA_61_2000_01","0.66675","2.0002","0","0.074133","0.025571"
"TCGA_61_2009_01","0.39279","2.9638","0.050191","0.14328","0.039389"
"TCGA_61_2012_01","1.3116","4.0627","0","0","0.0088851"
"TCGA_61_2088_01","0.20202","0.50504","NaN","NaN","NaN"
"TCGA_61_2092_01","0.60578","1.7854","0","0","0.019571"
"TCGA_61_2102_01","0.71324","2.1737","0.062927","0","0.065775"
"TCGA_61_2104_01","0.76826","1.9708","0.099431","0.028219","0.016211"
"TCGA_61_2109_01","0.46114","2.4704","0","0.10558","0.0027405"
"TCGA_61_2110_01","0.58566","2.5704","0","0","0.034206"
"TCGA_61_2113_01","2.7887","7.0538","0.014782","0.094559","0.039859"
"TCGA_OY_A56Q_01","0.34883","1.0697","NaN","NaN","NaN"
"TCGA_WR_A838_01","0.33144","0.63738","NaN","NaN","NaN"
